@type,@id,@lat,@lon,name,name:hu,alt_name,alt_name:hu,old_name,old_name:hu,url:miserend
node,5284356338,46.1011124,23.5811102,Biserica Romano-Catolică Înălțarea Sfintei Cruci Bărăbanț (1902),Szent Kereszt felmagasztalása templom,,,,,https://miserend.hu/templom/3055
node,5285472099,46.5728775,24.6071719,Biserica Romano-Catolică Sângeorgiu de Mureș,Szent György vértanú templom,,,,,https://miserend.hu/templom/3476
node,5299045213,46.4086728,24.6340443,Biserica Romano-Catolică Coroi,Kisboldogasszony templom,,,,,https://miserend.hu/templom/3446
node,5299045221,46.3922583,24.6805750,Biserica Romano-Catolică Agrișteu,Szentháromság templom,,,,,https://miserend.hu/templom/3445
node,5325230595,46.4941622,24.7642694,BIserica Romano-Catolică,Szentháromság templom,,,,,https://miserend.hu/templom/3518
node,5327687369,46.9921580,25.6831350,Biserica Romano-Catolică,Assisi Szent Ferenc templom,,,,,http://miserend.hu/templom/4275
node,5340809673,46.0386814,25.2160017,Biserica Sfânta Ana,,,,,,https://miserend.hu/templom/3271
node,5397997338,45.7233078,24.3981162,Biserica Catolică Avrig,Szent Kereszt felmagasztalása templom,,,,,https://miserend.hu/templom/3194
node,5484605940,46.7615658,19.0876494,Krisztus Király templom,,,,,,http://miserend.hu/templom/1073
node,5510690539,47.0844126,16.6083987,Szent András apostol-templom,,,,,,http://miserend.hu/?templom=2255
node,5512390448,46.4730707,19.9865035,Kocsó kápolna,,,,,,http://miserend.hu/templom/1615
node,5512472230,46.4044176,19.7703912,Keresztelő Szent János fejvétele-templom,,,,,,http://miserend.hu/templom/1357
node,5512578127,47.4723014,19.1430992,Szent Család templom,,,,,,http://miserend.hu/templom/849
node,5512578128,47.3697649,19.9958014,Szent Család-templom,,,,,,http://miserend.hu/templom/1748
node,5512578129,46.9986829,20.3864445,Szent Kereszt templom,,,,,,http://miserend.hu/templom/1337
node,5512578134,47.0937889,19.0025644,Szent Márton-templom,,,,,,http://miserend.hu/templom/1258
node,5518953228,46.5114306,19.4357482,Mária Neve-kápolna,,,,,,http://miserend.hu/templom/1354
node,5518960256,46.5540951,16.9142971,Páduai Szent Antal-kápolna,,,,,,http://miserend.hu/templom/4494
node,5518962815,47.0367527,18.4114017,Szűz Mária neve-kápolna,,,,,,http://miserend.hu/templom/216
node,5518988419,46.5145497,19.1083525,Úti Boldogasszony-kápolna,,,,,,http://miserend.hu/templom/5055
node,5530355339,46.0962312,19.1608895,Jézus Szíve-kápolna,,Bácsborsódi „Őszi Napfény” Integrált Szociális Intézmény kápolnája,,,,http://miserend.hu/templom/2781
node,5530370807,46.6180744,19.4237098,Szent Kereszt-kápolna,,Kisbócsai kápolna,,,,http://miserend.hu/templom/1066
node,5530380837,46.6814956,19.4965106,Kisboldogasszony kápolna,,Zöldhalmi kápolna,,,,http://miserend.hu/templom/4931
node,5530406349,50.8304452,4.3638970,Kápolna a Magyar Házban,,,,,,http://miserend.hu/templom/4927
node,5626242690,47.2102973,22.4655996,Biserica Romano-Catolică Sf. Anton,Páduai Szent Antal-templom,,,,,http://miserend.hu/templom/4769
node,5749745773,46.6403009,18.4154679,Imaház,,,,,,http://miserend.hu/templom/2385
node,5768206320,47.2612488,18.9893975,Szűz Mária-kápolna,,,,,,http://miserend.hu/templom/4151
node,5774628566,47.3136594,17.4308465,Szent István király-templom,,,,,,http://miserend.hu/?templom=5215
node,5806487670,46.5328830,17.0318164,Nagyboldogasszony-kápolna,,Bagó-hegyi kápolna,,,,https://miserend.hu/templom/5144
node,5821220316,47.1213593,18.8650875,,,,,,,http://miserend.hu/templom/4855
node,5821265513,47.1576488,20.1702791,Kórházkápolna,,,,,,http://miserend.hu/templom/2765
node,5836723485,47.8342623,22.0034607,Fájdalmas anya-kápolna,,,,,,http://miserend.hu/templom/5346
node,5896856932,47.8123096,20.5721097,Boldog Romzsa Tódor-kápolna,,,,,,https://miserend.hu/templom/5384
node,6017232197,47.4910622,19.0689609,Miasszonyunkról nevezett kápolna,,,,,,http://miserend.hu/templom/4844
node,6027213443,46.8335107,20.2885784,Magyarok Nagyasszonya karmelita kápolna,,,,,,http://miserend.hu/templom/1348
node,6131088961,47.5083606,19.0643629,Oltáriszentség-templom,,,,,,http://miserend.hu/templom/2434
node,6155746264,47.4200432,19.0698372,Kápolna,,,,,,https://miserend.hu/templom/5389
node,6434470766,47.4927135,19.0527964,Kápolna a Sapientia Hittudományi Főiskolán,,,,,,http://miserend.hu/templom/5390
node,6434545393,47.4829761,19.0822798,Szent Kamill kórházkápolna,,,,,,http://miserend.hu/templom/5369
node,6448257661,46.5564341,17.7729831,Szent Márton püspök-kápolna,,,,,,https://miserend.hu/templom/4420
node,6598204340,46.2174587,20.4658464,Föltámadt Krisztus-kápolna,,,,,,http://miserend.hu/templom/5393
node,6755632750,47.5663240,18.7319807,Szent Ágoston Közösségi Ház,,,,,,http://miserend.hu/templom/5388
node,6984903294,47.9192662,20.3697530,Felsővárosi római katolikus templom,,,,,,https://miserend.hu/templom/5402
node,7034645741,44.8767879,20.6553280,Црква Свете Ане,"Szent Anna, Szűz Mária édesanyja templom",,,,,https://miserend.hu/templom/4872
node,7356571594,47.6339355,18.9017630,,,,,,,https://miserend.hu/templom/5417
node,7486932032,46.5471643,19.9851291,Szentháromság-templom,,,,,,https://miserend.hu/templom/5403
node,7512406488,46.6422445,21.3297245,Szent Erzsébet-kápolna,,,,,,https://miserend.hu/templom/1405
