id,nev,ismertnev,orszag,megye,varos,cim,osmid,osmtype,lat,lon
4327,Misézőhely (Polgármesteri hivatal épülete),,12,15,Patca,,8540144463,node,46.2844018,17.7238422
4328,Misézőhely a Polgármesteri Hivatalban,,12,15,Szilvásszentmárton,,8563224695,node,46.2686661,17.7226504
4329,Hermina-kápolna,Hermina műemlék-kápolna,12,5,Budapest XIV. kerület,Hermina út 23.,256934084,way,47.5142278,19.0926265
4330,Szent László-templom,postavölgyi templom,12,2,Pécs,,373203512,way,46.0282019,18.2358642
4331,Szeplőtelen Fogantatás-kápolna,kőhegyi kápolna,12,14,Budaörs,,115967431,way,47.4650797,18.9565471
4332,Sarlós Boldogasszony-kápolna,"Starentanz kápolna, Farkasréti úti kápolna",12,14,Budaörs,Farkasréti út 87.,640005271,way,47.4662175,18.9738423
4333,Misézőhely az Idősek Otthonában,Kamaraerdei kápolna,12,14,Budaörs,,8437613866,node,47.4376893,18.9718464
4334,Szent Anna-templom,balatonszéplaki templom,12,15,Siófok,"Balatonszéplak, Zichy M. tér",301064713,way,46.8966451,18.0051879
4335,Szent Péter és Pál-templom,töreki templom,12,15,Siófok,"Töreki, Diófás u.",289066202,way,46.8630022,18.0166422
4336,Szent Kereszt-templom,,12,15,Siófok,Darnay tér,356239927,way,46.9186031,18.0821021
4337,Szent Lőrinc-templom,,12,15,Siófok,Szépvölgyi út 1.,363325018,way,46.8998141,18.03268
4338,Lisieux-i Kis Szent Teréz-templom,Miskolc-Diósgyőr görögkatolikus templom,12,4,Miskolc,Bíró utca 2/A.,375916806,way,48.1033441,20.7360735
4339,"Antiochiai Szent Margit vértanú, szűz templom",Gabčíkovo,26,0,Bős,,61626016,way,47.8916709,17.5757073
4340,Szentlélek eljövetele-kápolna,,12,15,Rinyakovácsi,Fő u. 35.,371590106,way,46.2852824,17.5959449
4341,Szűz Mária neve-templom,,12,15,Patosfa,Fő út,371590107,way,46.1300113,17.6668232
4342,Szűz Mária neve-kápolna,,12,15,Hedrehely,Szabadság u. 9.,371590108,way,46.1977887,17.6517812
4343,Skóciai Szent Margit-templom,,12,15,Homokszentgyörgy,,371590091,way,46.1164443,17.566192
4344,Szent István király-kápolna,Mariettapusztai Szent István király-kápolna,12,15,Homokszentgyörgy,Mariettapuszta,371590096,way,46.0993779,17.528161
4345,Szentháromság templom,,12,2,Nemeske,Görösgal,371590104,way,46.0358509,17.7040058
4346,Magyarok Nagyasszonya-templom,,12,15,Kálmáncsa,,326780015,way,46.0680138,17.6178085
4347,Mária királynő-kápolna,Lajosháza Mária királynő kápolna,12,15,Kálmáncsa,Lajosháza,8593140244,node,46.0909122,17.6569819
4348,Misézőhely,Basal,12,2,Basal,Művelődési Ház,8431959923,node,46.072987,17.7794766
4349,Szent Kereszt-kápolna,,12,2,Csertő,Szabadság u.,360011447,way,46.0889299,17.8009688
4350,Szent Vendel-templom,,12,2,Somogyhárságy,Rákóczi u.,359824156,way,46.1553133,17.7690567
4351,Szent Vendel-kápolna,,12,2,Magyarlukafa,Fő u. 42.,3391107754,node,46.1698831,17.7569283
4352,Misézőhely a Református templomban,,12,2,Somogyhatvan,,8567460620,node,46.112842,17.7136162
4353,Szent Márton püspök-kápolna,,12,2,Vásárosbéc,Kossuth u. 35.,359821708,way,46.1830467,17.7237699
4354,Szent József-kápolna,Balfi fürdő kápolna,12,8,Sopron,Balf,749929232,way,47.6501997,16.6623115
4355,Sarlós Boldogasszony-templom,Sarlós Boldogasszony kegytemplom,12,8,Kópháza,,375916818,way,47.6328758,16.6481999
4357,Misézőhely a Toldy Ferenc Kórházban,,12,14,Cegléd,,8437931577,node,47.1707932,19.8183811
